task,model,harness,trial,reward,passed,primary_label,attribution,mode,mechanism,evidence
01-entitlement-overage-lines,Fable 5.1,Claude Code,1,1.0,1,LEGITIMATE,,,,verification/01-entitlement-overage-lines/fable-5.1-claude-code-real-swe/trial-01
01-entitlement-overage-lines,Fable 5.1,Claude Code,2,1.0,1,LEGITIMATE,,,,verification/01-entitlement-overage-lines/fable-5.1-claude-code-real-swe/trial-02
01-entitlement-overage-lines,Fable 5.1,Claude Code,3,1.0,1,LEGITIMATE,,,,verification/01-entitlement-overage-lines/fable-5.1-claude-code-real-swe/trial-03
01-entitlement-overage-lines,Fable 5.1,Claude Code,4,1.0,1,LEGITIMATE,,,,verification/01-entitlement-overage-lines/fable-5.1-claude-code-real-swe/trial-04
01-entitlement-overage-lines,Fable 5.1,Claude Code,5,1.0,1,LEGITIMATE,,,,verification/01-entitlement-overage-lines/fable-5.1-claude-code-real-swe/trial-05
01-entitlement-overage-lines,Fable 5.1,Claude Code,6,1.0,1,LEGITIMATE,,,,verification/01-entitlement-overage-lines/fable-5.1-claude-code-real-swe/trial-06
01-entitlement-overage-lines,Fable 5.1,Claude Code,7,1.0,1,LEGITIMATE,,,,verification/01-entitlement-overage-lines/fable-5.1-claude-code-real-swe/trial-07
01-entitlement-overage-lines,Fable 5.1,Claude Code,8,1.0,1,LEGITIMATE,,,,verification/01-entitlement-overage-lines/fable-5.1-claude-code-real-swe/trial-08
01-entitlement-overage-lines,GLM 5.3,Claude Code,1,0.0,0,MISSED_REQUIREMENT,model,Free dimension gets no line when nothing is owed,`if (quantity <= 0)` early return in the non-tiered loop runs before the zero-price rule (L6781); four solstice free lines missing (713c3c86),verification/01-entitlement-overage-lines/glm-5.3-claude-code/trial-01
01-entitlement-overage-lines,GLM 5.3,Claude Code,2,1.0,1,LEGITIMATE,,,,verification/01-entitlement-overage-lines/glm-5.3-claude-code/trial-02
01-entitlement-overage-lines,GLM 5.3,Claude Code,3,1.0,1,LEGITIMATE,,,,verification/01-entitlement-overage-lines/glm-5.3-claude-code/trial-03
01-entitlement-overage-lines,GLM 5.3,Claude Code,4,0.0,0,MISSED_REQUIREMENT,model,Free dimension gets no line when nothing is owed,earnsInvoiceLine returns false on quantity <= 0 before checking price/setting (L4834); dimensions filtered out of usage overrides; 713c3c86,verification/01-entitlement-overage-lines/glm-5.3-claude-code/trial-04
01-entitlement-overage-lines,GLM 5.3,Claude Code,5,1.0,1,LEGITIMATE,,,,verification/01-entitlement-overage-lines/glm-5.3-claude-code/trial-05
01-entitlement-overage-lines,GLM 5.3,Claude Code,6,0.0,0,MISSED_REQUIREMENT,model,Free dimension gets no line when nothing is owed,addLineItemForOwedUsage starts with `if (!total) return` ahead of the hide check (L4614); plan at L3898 ordered it that way; 713c3c86,verification/01-entitlement-overage-lines/glm-5.3-claude-code/trial-06
01-entitlement-overage-lines,GLM 5.3,Claude Code,7,0.0,0,MISSED_REQUIREMENT,model,Free dimension gets no line when nothing is owed,Skip condition `!owedQuantity || (pricedAtZero && hide)` (L4304) makes owing a precondition for free lines; 713c3c86,verification/01-entitlement-overage-lines/glm-5.3-claude-code/trial-07
01-entitlement-overage-lines,GLM 5.3,Claude Code,8,0.0,0,MISSED_REQUIREMENT,model,Free dimension gets no line when nothing is owed,carriesLineItem first statement `if (!quantityOwed) return false` (L5181) before the unitCost/hide check; 713c3c86,verification/01-entitlement-overage-lines/glm-5.3-claude-code/trial-08
01-entitlement-overage-lines,Grok 4.6,Grok Build,1,0.0,0,MISSED_REQUIREMENT,model,Free dimension gets no line when nothing is owed,free-dimension-line-gated-on-positive-quantity,verification/01-entitlement-overage-lines/grok-4.6-grok-build-real-swe/trial-01/recovered-original-verifier
